|	№	||	timeStamp'	||	TURNSTILE	||	CARD TYPE	||	REJECTED	||	SKI PASS info'	||	
|	17	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{10fromTEN, cardType=HOLIDAYS, blocked=false, id=48047a33-f6d7-40d5-9ae4-f2a6b8ccace9, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	18	||	09 мая 2015 08:00:00'	||	3	||	HOLIDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=HOLIDAYS, blocked=false, id=601e0d2c-f73a-45a8-8a68-12229ee121dd, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	19	||	09 мая 2015 08:00:00'	||	1	||	HOLIDAYS	||	true	||	SkiPass{10fromTEN, cardType=HOLIDAYS, blocked=false, id=d5d81151-101e-4df9-8af8-0d5fefe2e5a7, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	20	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=WORKDAYS, blocked=false, id=9efc849c-8ed1-4cba-b3ba-cf6282578dcd, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	21	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{20fromTWENTY, cardType=SEASON, blocked=false, id=2825dfa6-8591-434c-994e-3906179f8073, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	22	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{10fromTEN, cardType=HOLIDAYS, blocked=false, id=8b0a9196-48ea-4ad0-9163-82d868c33083, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	23	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=WORKDAYS, blocked=false, id=a35d90e6-82e6-4951-95fa-63b91dc70b0f, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	24	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=WORKDAYS, blocked=false, id=ad0aa29c-2d12-4ecc-974b-4754b2a6d330, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	25	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=38b7a794-8c9b-4eb1-ad96-f4c6fbdc70aa, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	26	||	09 мая 2015 08:00:00'	||	3	||	HOLIDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=HOLIDAYS, blocked=false, id=66ba0c36-fce7-4c3f-898e-a8dd5a219a36, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	27	||	09 мая 2015 08:00:00'	||	1	||	SEASON	||	true	||	SkiPass{10fromTEN, cardType=SEASON, blocked=false, id=62c99662-bd07-4df4-9f7b-acd2c900325c, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	28	||	09 мая 2015 08:00:00'	||	1	||	SEASON	||	true	||	SkiPass{50fromFIFTY, cardType=SEASON, blocked=false, id=a34d8ef6-c5ed-43ce-8f53-77731171e9b2, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	29	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=WORKDAYS, blocked=false, id=1a3b3023-7594-4062-90aa-1bd0645ebfe1, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	30	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{10fromTEN, cardType=HOLIDAYS, blocked=false, id=7ad25341-f872-403e-be86-d1de22e51bfc, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	31	||	09 мая 2015 08:00:00'	||	2	||	WORKDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=WORKDAYS, blocked=false, id=18363f56-2075-4c9a-aad5-a079e46d2bb3, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	32	||	09 мая 2015 08:00:00'	||	2	||	WORKDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=WORKDAYS, blocked=false, id=e1edb22b-25da-4a9c-8097-69caeb04364f, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	33	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{10fromTEN, cardType=SEASON, blocked=false, id=77e941ec-7089-4bbd-a727-7b085a0cc43b, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	34	||	09 мая 2015 08:00:00'	||	3	||	HOLIDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=HOLIDAYS, blocked=false, id=eb87110c-e163-49c9-9e6f-144b0a610663, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	35	||	09 мая 2015 08:00:00'	||	3	||	HOLIDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=HOLIDAYS, blocked=false, id=31e17a21-cb1f-41bc-a38c-355a3e47cd5b, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	36	||	09 мая 2015 08:00:00'	||	1	||	SEASON	||	true	||	SkiPass{10fromTEN, cardType=SEASON, blocked=false, id=80e555fc-31d7-4e3c-abf0-eb0c66ae7085, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	37	||	09 мая 2015 08:00:00'	||	2	||	WORKDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=WORKDAYS, blocked=false, id=f58c1ce8-8580-4998-857d-684b411a0b69, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	38	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=WORKDAYS, blocked=false, id=c403d52b-efc3-4dfa-957d-03e1329df1b2, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	39	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{20fromTWENTY, cardType=SEASON, blocked=false, id=b1437fd2-70cc-4f26-b089-4cc89aea7626, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	40	||	09 мая 2015 08:00:00'	||	1	||	SEASON	||	true	||	SkiPass{10fromTEN, cardType=SEASON, blocked=false, id=e4a13fc3-70f3-4621-9ee1-5493599e13b1, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	41	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=ffda7c48-ff57-48b9-bad8-e2d1f9082171, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	42	||	09 мая 2015 08:00:00'	||	3	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=37849a6e-a4a5-4813-9d02-a96a9426ca98, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	43	||	09 мая 2015 08:00:00'	||	1	||	WORKDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=WORKDAYS, blocked=false, id=ee6321dc-8314-43bb-a9c5-27affda9d113, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	44	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=WORKDAYS, blocked=false, id=10bcc43a-d140-41da-864f-6065768044b2, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	45	||	09 мая 2015 08:00:00'	||	1	||	WORKDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=WORKDAYS, blocked=false, id=409a3e3f-9c33-4096-a8ac-ad16d196503c, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	46	||	09 мая 2015 08:00:00'	||	3	||	SEASON	||	true	||	SkiPass{20fromTWENTY, cardType=SEASON, blocked=false, id=545cf220-9adc-4748-861e-e801acac39c7, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	47	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{10fromTEN, cardType=WORKDAYS, blocked=false, id=883d4baf-7e38-4674-a286-499a3859245f, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	48	||	09 мая 2015 08:00:00'	||	3	||	SEASON	||	true	||	SkiPass{100fromHUNDRED, cardType=SEASON, blocked=false, id=d90deff1-49bd-4c78-9fde-f01437cdfc1e, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	49	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=HOLIDAYS, blocked=false, id=b7d44683-c8f6-4952-85ae-e42f1e092723, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	50	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{20fromTWENTY, cardType=SEASON, blocked=false, id=354740d3-1d86-4e3b-98c1-b94b3eac10ac, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	51	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=WORKDAYS, blocked=false, id=6b736ef2-32ec-472c-88c2-a03d5e662773, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	52	||	09 мая 2015 08:00:00'	||	1	||	SEASON	||	true	||	SkiPass{100fromHUNDRED, cardType=SEASON, blocked=false, id=c666d66a-04ff-4aa2-a38f-a7082ba52502, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	53	||	09 мая 2015 08:00:00'	||	2	||	WORKDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=WORKDAYS, blocked=false, id=6960a1c3-a03b-4e78-b70c-777fd45639d6, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	54	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{10fromTEN, cardType=HOLIDAYS, blocked=false, id=5111143b-37b3-49e4-b916-23271736bb61, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	55	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{10fromTEN, cardType=HOLIDAYS, blocked=false, id=9fd04e7c-5a35-4928-b0d0-7f68b6a2519c, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	56	||	09 мая 2015 08:00:00'	||	1	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=f7b923dc-5d24-4299-8149-f2ebb10509b0, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	57	||	09 мая 2015 08:00:00'	||	1	||	HOLIDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=HOLIDAYS, blocked=false, id=9a7b2cb2-a565-492d-8f34-328bcd4e8e50, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	58	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=WORKDAYS, blocked=false, id=a0e04e46-e303-412b-9ef9-0d5eea8ade7a, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	59	||	09 мая 2015 08:00:00'	||	1	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=4da30ad8-a957-400d-b391-6239400978e4, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	60	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{100fromHUNDRED, cardType=SEASON, blocked=false, id=fc8c0a87-4161-4ef7-8f4a-f1f2d5560bc4, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	61	||	09 мая 2015 08:00:00'	||	3	||	SEASON	||	true	||	SkiPass{100fromHUNDRED, cardType=SEASON, blocked=false, id=c374d4ab-3e0f-4cc8-8c08-ae81b9a7af7d, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	62	||	09 мая 2015 08:00:00'	||	3	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=0224a67f-48c4-43fa-b14c-44c1da90225f, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	63	||	09 мая 2015 08:00:00'	||	1	||	WORKDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=WORKDAYS, blocked=false, id=3bc5d832-c8df-4701-b278-126a1eab39df, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	64	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=WORKDAYS, blocked=false, id=463291a7-d0ee-44e7-851e-b486653625d0, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	65	||	09 мая 2015 08:00:00'	||	2	||	WORKDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=WORKDAYS, blocked=false, id=2e7d78a8-91d3-4a02-b04e-9e2ce5334992, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	66	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=HOLIDAYS, blocked=false, id=7b500322-7555-4853-bb46-7bd5290b05af, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	67	||	09 мая 2015 08:00:00'	||	3	||	SEASON	||	true	||	SkiPass{20fromTWENTY, cardType=SEASON, blocked=false, id=8c2e595c-8bba-4514-a4d0-e7a7b98621e7, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	68	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{100fromHUNDRED, cardType=SEASON, blocked=false, id=7b71fed9-2bdc-47e0-a3d4-20f4079b5d2b, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	69	||	09 мая 2015 08:00:00'	||	1	||	SEASON	||	true	||	SkiPass{10fromTEN, cardType=SEASON, blocked=false, id=20490151-ce64-4779-ac14-213eeb1436af, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	70	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=WORKDAYS, blocked=false, id=cc26053a-1e32-41cd-aa03-b4efd0c37d35, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	71	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=HOLIDAYS, blocked=false, id=a9ca03a2-b7c1-4df1-bf85-36c7b7426e95, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	72	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=HOLIDAYS, blocked=false, id=6beb0d44-220e-48fb-ad3c-5932a522d523, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	73	||	09 мая 2015 08:00:00'	||	2	||	WORKDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=WORKDAYS, blocked=false, id=9b3b79ac-6f0a-4d0f-ae4d-493b15bac9fc, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	74	||	09 мая 2015 08:00:00'	||	1	||	SEASON	||	true	||	SkiPass{20fromTWENTY, cardType=SEASON, blocked=false, id=eef736f5-9c4b-44c0-bd95-7090c4bda96b, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	75	||	09 мая 2015 08:00:00'	||	1	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=d3a4211b-de04-4bf1-a930-bf5e72fde22c, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	76	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{50fromFIFTY, cardType=SEASON, blocked=false, id=beeb8b9b-aa2f-44ae-96bf-e13c82e557f0, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	77	||	09 мая 2015 08:00:00'	||	1	||	WORKDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=WORKDAYS, blocked=false, id=3e66afca-cc04-4435-9be1-8409fac33126, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	78	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{100fromHUNDRED, cardType=SEASON, blocked=false, id=4bc9aed8-0601-4db9-b1bd-211f8e4fcdac, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	79	||	09 мая 2015 08:00:00'	||	3	||	SEASON	||	true	||	SkiPass{20fromTWENTY, cardType=SEASON, blocked=false, id=a4adf5cf-3cac-4fcf-9444-f0b3d2dc9db8, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	80	||	09 мая 2015 08:00:00'	||	3	||	SEASON	||	true	||	SkiPass{100fromHUNDRED, cardType=SEASON, blocked=false, id=6b38b4aa-5625-4dd8-bd7c-002dae5102d9, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	81	||	09 мая 2015 08:00:00'	||	3	||	HOLIDAYS	||	true	||	SkiPass{10fromTEN, cardType=HOLIDAYS, blocked=false, id=8fd0054c-012f-4b14-a6ca-3d7ee048d3b1, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	82	||	09 мая 2015 08:00:00'	||	3	||	SEASON	||	true	||	SkiPass{20fromTWENTY, cardType=SEASON, blocked=false, id=e6ab3f07-f30b-49c2-b359-130eb9abed9d, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	83	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{100fromHUNDRED, cardType=WORKDAYS, blocked=false, id=7da75434-4734-41e2-ab2f-b90af65a7dc3, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	84	||	09 мая 2015 08:00:00'	||	3	||	SEASON	||	true	||	SkiPass{10fromTEN, cardType=SEASON, blocked=false, id=e96d0971-7b2e-4aa2-9a0f-32b8750dae45, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	85	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=HOLIDAYS, blocked=false, id=74247d8c-360e-4b36-ab47-101074af5859, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	86	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=d573ca32-5065-4418-9dd3-26982b128564, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	87	||	09 мая 2015 08:00:00'	||	3	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=547439b6-cc3f-4a58-bf4b-f4e6448eea6e, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	88	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{20fromTWENTY, cardType=SEASON, blocked=false, id=682184ea-fefe-4411-9168-798cd849ef04, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	89	||	09 мая 2015 08:00:00'	||	1	||	WORKDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=WORKDAYS, blocked=false, id=a19b9636-4f67-4b04-8e6f-8e454d038a79, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	90	||	09 мая 2015 08:00:00'	||	3	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=e22c92f2-1c7d-4f96-a289-58f13c500143, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	91	||	09 мая 2015 08:00:00'	||	2	||	SEASON	||	true	||	SkiPass{50fromFIFTY, cardType=SEASON, blocked=false, id=65a07078-cb36-451d-982b-404bfc522d5d, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	92	||	09 мая 2015 08:00:00'	||	3	||	WORKDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=WORKDAYS, blocked=false, id=a2be9fcc-b719-4d8e-8f68-c4cb86c76513, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	93	||	09 мая 2015 08:00:00'	||	1	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=401a3e01-b622-4039-98d3-5484c19ed906, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	94	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=HOLIDAYS, blocked=false, id=66ff0ca1-2033-4a4e-a2e7-73fd6fa4f2fa, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	95	||	09 мая 2015 08:00:00'	||	2	||	HOLIDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=HOLIDAYS, blocked=false, id=95ea7138-1b64-43b8-8cc5-c2f26a858e3f, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	96	||	09 мая 2015 08:00:00'	||	1	||	WORKDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=WORKDAYS, blocked=false, id=4c40c534-720a-4e35-ac4f-5580c5656da7, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	97	||	09 мая 2015 08:00:00'	||	1	||	HOLIDAYS	||	true	||	SkiPass{20fromTWENTY, cardType=HOLIDAYS, blocked=false, id=c267f943-b9c8-486e-83eb-035714a08402, lastReasonPassOfRejection='Day 09 мая 2015 not in days 6-7'}'	||	
|	98	||	09 мая 2015 08:00:00'	||	1	||	WORKDAYS	||	true	||	SkiPass{50fromFIFTY, cardType=WORKDAYS, blocked=false, id=4a58a145-d3bf-42bc-9b9a-10a2f8cfc98a, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-5'}'	||	
|	99	||	09 мая 2015 08:00:00'	||	3	||	SEASON	||	true	||	SkiPass{20fromTWENTY, cardType=SEASON, blocked=false, id=48220c1e-5f2d-4f47-97f4-6ddac4e99d33, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
|	100	||	09 мая 2015 08:00:00'	||	1	||	SEASON	||	true	||	SkiPass{10fromTEN, cardType=SEASON, blocked=false, id=0b4527ca-c164-4ff2-ab47-64d9ae13ec70, lastReasonPassOfRejection='Day 09 мая 2015 not in days 1-7'}'	||	
